OBJECTID,rAERU19_08,rAERU19_13,rAERU19_18,AERU19_08,AERU19_13,AERU19_18,aAERU19_08,aAERU19_13,aAERU19_18,ePU19_10,ePU19_13,ePU19_18,TRACTNAME,PlanningRegion,ARCModelingArea,GEOID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
1,,0.75642965,,,5,,,1,,1403,1322,991,"Census Tract 401.01, Dade County",Northwest Georgia,No,13083040101,{462C84CF-5F73-4014-8E1D-CB1F50F126F2},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.937368495347659,0.012216751109248
2,,,,,,,,,,932,937,812,"Census Tract 401.02, Dade County",Northwest Georgia,No,13083040102,{1648AAB8-44AC-4C75-AE60-68BB5837FE24},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.67950951762695,0.0119573690732487
3,,,0.90022506,,,6,,,1.2,981,1025,1333,"Census Tract 403, Dade County",Northwest Georgia,No,13083040300,{A4F2F1A4-DF58-44EC-9B4B-BCA74C3F40D8},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.17542770854929,0.0101814321033902
4,,,,,,,,,,1147,909,793,"Census Tract 402, Dade County",Northwest Georgia,No,13083040200,{44B1D9A7-9BC9-4947-B223-B3AD7483D74A},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.675701182639116,0.0101062298836136
5,7.5768406,6.40834575,8.22281167,53,43,62,10.6,8.6,12.4,1399,1342,1508,"Census Tract 9101.03, Carroll County",Three Rivers,Yes,13045910103,{D492D810-CC74-4423-B6BC-CCBAFBB8AB19},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.360434972128092,0.00548728088149334
6,7.9388201,8.64785636,6.11353712,109,118,105,21.8,23.6,21,2746,2729,3435,"Census Tract 9101.04, Carroll County",Three Rivers,Yes,13045910104,{2C5084B3-EFB3-4DDB-893A-647FE90CA517},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.378355645861842,0.00437480300162944
7,9.79147779,19.79865772,8.63070539,54,59,52,10.8,11.8,10.4,1103,596,1205,"Census Tract 9105.02, Carroll County",Three Rivers,Yes,13045910502,{69D79026-20F5-416F-B4CE-551249F3921A},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0931793381940673,0.000422746481691714
8,3.94736842,5.4054054,8.41720037,24,34,46,4.8,6.8,9.2,1216,1258,1093,"Census Tract 9108, Carroll County",Three Rivers,Yes,13045910800,{F25E8897-8ADF-4520-B920-B63D165D1D15},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.723506820487115,0.0167195886726791
9,9.17899031,12.90322581,16.27236007,90,120,141,18,24,28.2,1961,1860,1733,"Census Tract 9101.01, Carroll County",Three Rivers,Yes,13045910101,{1C1238C5-2527-46F1-B491-96DA97BE229C},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.200106416734133,0.00162208928458213
10,7.37797957,7.77135517,7.74907749,130,121,126,26,24.2,25.2,3524,3114,3252,"Census Tract 9102, Carroll County",Three Rivers,Yes,13045910200,{685C58BA-4B7B-404A-BEC6-664FBD059471},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.604046421368308,0.0117005397762738
11,6.31383473,6.77361854,2.5146689,34,38,15,6.8,7.6,3,1077,1122,1193,"Census Tract 9109, Carroll County",Three Rivers,Yes,13045910900,{94462399-3860-42A9-BD2C-1F61EC255E31},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.593939241320037,0.0128067596156863
12,5.03952569,6.99088146,6.02040816,51,69,59,10.2,13.8,11.8,2024,1974,1960,"Census Tract 9103, Carroll County",Three Rivers,Yes,13045910300,{DA7093AA-A241-4141-BEFC-ABEAE88E4997},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.58294922042417,0.0143781159727262
13,5.3652968,7.03363914,8.7949743,47,69,77,9.4,13.8,15.4,1752,1962,1751,"Census Tract 9111, Carroll County",Three Rivers,Yes,13045911100,{9F987B78-4C88-4CC9-BDE8-0A321ECF4F42},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.38372945717607,0.00506609620780421
14,7.61501851,7.50279955,7.20830788,72,67,59,14.4,13.4,11.8,1891,1786,1637,"Census Tract 9110, Carroll County",Three Rivers,Yes,13045911000,{89D4A836-DE92-4565-B7F7-C6E024C07643},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.308539356558414,0.00497795186633112
15,5.72720422,6.64923422,9.22242315,76,89,102,15.2,17.8,20.4,2654,2677,2212,"Census Tract 9107.01, Carroll County",Three Rivers,Yes,13045910701,{05CC51E9-C3C4-4193-A6A6-15E606FB8AB3},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.454486418889667,0.0063808010014131
16,7.2,10.88376143,6.56691604,99,125,79,19.8,25,15.8,2750,2297,2406,"Census Tract 9107.03, Carroll County",Three Rivers,Yes,13045910703,{3C903A9A-EAAE-4668-965A-C4AA236CE7A3},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.325872925106175,0.00348107947588397
17,9.9299809,6.37329287,8.7849401,78,63,77,15.6,12.6,15.4,1571,1977,1753,"Census Tract 9106, Carroll County",Three Rivers,Yes,13045910600,{EB2114EB-CE3C-47EF-A222-488D0ABDC52F},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.325028929474596,0.00316231502043921
18,3.04066895,3.46956777,2.98062593,40,59,50,8,11.8,10,2631,3401,3355,"Census Tract 9105.01, Carroll County",Three Rivers,Yes,13045910501,{07B74901-6FD1-442E-8473-9E5CC8C15753},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.311503860883934,0.00290188265012035
19,6.63764962,7.0989115,6.06626225,61,75,65,12.2,15,13,1838,2113,2143,"Census Tract 9107.02, Carroll County",Three Rivers,Yes,13045910702,{DDFC7691-56F3-4ED7-9346-8CD5E0B1E890},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.344296905203622,0.00596583229921249
20,7.66331658,6.82095006,9.12280702,61,56,52,12.2,11.2,10.4,1592,1642,1140,"Census Tract 9112, Carroll County",Three Rivers,Yes,13045911200,{38470CDF-69DC-4FF9-AD9F-A7F294BAB520},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.61365244238427,0.0164355350370068
21,4.80349345,7.51708428,5.28634361,22,33,18,4.4,6.6,3.6,916,878,681,"Census Tract 9104, Carroll County",Three Rivers,Yes,13045910400,{ADDCCC61-A79E-447A-B78B-57D7DBAD7C92},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.601156687924697,0.0108498498748389
22,5.82395764,8.95522388,8.24902724,44,72,53,8.8,14.4,10.6,1511,1608,1285,"Census Tract 1304, Clarke County",Northeast Georgia,No,13059130400,{8E8D0770-A1B2-4269-BE10-77169F4DF10C},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.171538433204081,0.00138155129721696
23,4.62633452,,5.4054054,13,,8,2.6,,1.6,562,514,296,"Census Tract 1504, Clarke County",Northeast Georgia,No,13059150400,{EFFE2DBA-707E-41A6-AAC7-31E5AE509312},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.255846848879701,0.00143462897892058
24,2.83286119,,,5,,,1,,,353,270,314,"Census Tract 4.01, Clarke County",Northeast Georgia,No,13059000401,{9F0F1787-44B0-405D-9926-4CDF02840E6E},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0746400563075526,0.000155135379396681
25,,0.19474197,0.33711309,,6,11,,1.2,2.2,6420,6162,6526,"Census Tract 4.02, Clarke County",Northeast Georgia,No,13059000402,{DB1D58DE-D69E-4EA8-B0AF-9316D196BC15},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0872135410047806,0.000220029072672737
26,5.0877193,2.50587314,5.45308741,29,16,34,5.8,3.2,6.8,1140,1277,1247,"Census Tract 1404, Clarke County",Northeast Georgia,No,13059140400,{9251552D-A3EE-4596-A521-10BF6A4D00B6},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.181678636159643,0.00136315616702021
27,5.36044362,7.48663102,10.51094891,29,21,36,5.8,4.2,7.2,1082,561,685,"Census Tract 1505, Clarke County",Northeast Georgia,No,13059150500,{1629C925-8A3B-4512-8F14-F4030CD9296B},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.133960302928613,0.000589295137218083
28,12.72084806,10.81871345,12.5588697,36,37,40,7.2,7.4,8,566,684,637,"Census Tract 19, Clarke County",Northeast Georgia,No,13059001900,{17797C9F-F7A4-48A9-B728-D7571AD0FCBB},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.101952397966841,0.00026019793079362
29,10.33707865,12.71056662,12.88981289,69,83,93,13.8,16.6,18.6,1335,1306,1443,"Census Tract 1403, Clarke County",Northeast Georgia,No,13059140300,{3AC583C4-F98F-4D48-BE3B-8FFC6549DFA6},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.274949030016759,0.00272488024014763
30,,,4.13436693,,,8,,,1.6,286,341,387,"Census Tract 20, Clarke County",Northeast Georgia,No,13059002000,{38251506-837C-424E-9DD0-BA75D5F1E99A},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0611820376954972,0.000195495593093038
31,5.20231214,5.99250936,2.27272727,9,8,6,1.8,1.6,1.2,346,267,528,"Census Tract 18, Clarke County",Northeast Georgia,No,13059001800,{496FB403-2B81-4C43-97DC-8D7E8902FBF8},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0636525667144495,0.000203437867063892
32,20.1171875,14.22142214,18.53658537,103,79,76,20.6,15.8,15.2,1024,1111,820,"Census Tract 9, Clarke County",Northeast Georgia,No,13059000900,{DB3704F8-274E-4742-BD09-6910FEB97F0A},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.103373767582268,0.000242742890596013
33,6.56396517,9.41176471,16.8356998,49,60,83,9.8,12,16.6,1493,1275,986,"Census Tract 1507, Clarke County",Northeast Georgia,No,13059150700,{0E543CD8-D314-4B60-8CD6-FDDD028D630E},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.133997217613898,0.000896373094245444
34,4.87804878,6.8452381,11.53846154,24,23,33,4.8,4.6,6.6,984,672,572,"Census Tract 1305, Clarke County",Northeast Georgia,No,13059130500,{D13E06EA-F15C-46B1-B572-16D354B647A1},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.291756317088188,0.00306056169137698
35,4.80854853,5.06329114,8.91428571,27,36,39,5.4,7.2,7.8,1123,1422,875,"Census Tract 1406, Clarke County",Northeast Georgia,No,13059140600,{B7BCDFE5-D37A-4152-A4DB-69B715D08D25},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.319116658346795,0.00317861171841137
36,17.04035874,10.01855288,14.96062992,38,27,38,7.6,5.4,7.6,446,539,508,"Census Tract 1405, Clarke County",Northeast Georgia,No,13059140500,{14312AB0-F277-483C-9ED4-9934A5A84D4B},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.232756558747629,0.00209068747517802
37,8.32666133,7.6372315,11.03710752,52,32,58,10.4,6.4,11.6,1249,838,1051,"Census Tract 301, Clarke County",Northeast Georgia,No,13059030100,{D170AF40-09EA-4289-B25B-B38C7D2D5ED7},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0905697164694987,0.000372254086619923
38,7.68870136,8.10468552,6.85602351,82,96,70,16.4,19.2,14,2133,2369,2042,"Census Tract 1303, Clarke County",Northeast Georgia,No,13059130300,{078A838A-C3FD-4BC9-BA67-AE9997649D8D},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.232762906180724,0.00173962646156369
39,,,,,,,,,,1166,1281,1537,"Census Tract 21, Clarke County",Northeast Georgia,No,13059002100,{B9907B99-5FF2-4960-9E81-1FFCD44FD79B},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0729368075943601,0.000163210236606715
40,6.47829083,8.07365439,7.10227273,47,57,50,9.4,11.4,10,1451,1412,1408,"Census Tract 1306, Clarke County",Northeast Georgia,No,13059130600,{BA7B6A95-0CBE-4EDE-80C5-486E9C3330BA},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.165239763761919,0.000918011122150598
41,4.69483568,4.72103004,7.2243346,10,11,19,2,2.2,3.8,426,466,526,"Census Tract 12, Clarke County",Northeast Georgia,No,13059001200,{831D8851-BC6A-404C-8D1E-A824623725DD},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.119777966621892,0.000347870627536085
42,7.92682927,6.21118012,3.57142857,13,10,8,2.6,2,1.6,328,322,448,"Census Tract 17, Clarke County",Northeast Georgia,No,13059001700,{D11C6634-7512-4EF9-95C9-A4CC9B5911B2},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0863867311343949,0.000345510665449718
43,1.81611805,4.80640855,2.98507463,8,18,10,1.6,3.6,2,881,749,670,"Census Tract 1503, Clarke County",Northeast Georgia,No,13059150300,{D298F202-0E5E-4C95-84AA-AE26E71FDF77},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.15185997723038,0.000639312964491081
44,8.75656743,4.03458213,3.03514377,25,14,19,5,2.8,3.8,571,694,1252,"Census Tract 6, Clarke County",Northeast Georgia,No,13059000600,{6A862CC0-4096-46BB-A947-9D1B6663C40D},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.057669766518172,0.000131657228644072
45,4.5814978,8.71021776,6.46130729,26,26,43,5.2,5.2,8.6,1135,597,1331,"Census Tract 1307, Clarke County",Northeast Georgia,No,13059130700,{AAA2C987-F770-4525-B3F8-F0B2D6C77012},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.1910933475443,0.000905524702354704
46,9.18367347,16.42512077,8.31918506,108,187,98,21.6,37.4,19.6,2352,2277,2356,"Census Tract 9502, Lanier County",Southern Georgia,No,13173950200,{9ED844E8-1D15-4693-9ACD-BAFB43EB2C0C},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.979270685607687,0.0265796586331705
47,4.31965443,13.16998469,4.35643564,10,43,11,2,8.6,2.2,463,653,505,"Census Tract 9501, Lanier County",Southern Georgia,No,13173950100,{D669719B-3DF7-4E2D-B63A-8EE7FFE4862E},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,1.15525459422859,0.0223084606896843
48,,,,,,,,,,206,90,170,"Census Tract 1, Clarke County",Northeast Georgia,No,13059000100,{8C737000-59F3-4944-B565-7C7AF18945D6},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.0530437830363128,8.47168798395756e-05
49,4.83221476,6.68693009,2.52918288,18,33,13,3.6,6.6,2.6,745,987,1028,"Census Tract 1509, Clarke County",Northeast Georgia,No,13059150900,{079031F7-DD05-495E-84CD-5249E1FC875B},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.445639785184745,0.00477863213199541
50,3.87096774,3.69662205,5.9584036,33,29,53,6.6,5.8,10.6,1705,1569,1779,"Census Tract 1508, Clarke County",Northeast Georgia,No,13059150800,{AF2DAA51-5D63-4D05-9C81-B61FF98263DC},ryanbarrett,2020/07/17 21:30:29,ryanbarrett,2020/07/17 21:30:29,0.182160048229327,0.0011826921267157
